scheme_name,scheme_level,ministry,beneficiary_category,scheme_type,support_type,income_limit,minimum_loan,maximum_loan,project_cost_min,project_cost_max,interest_rate,subsidy,moratorium,tenure,purpose,education_eligible,age_min,age_max,state,active_status,channel_partner_type,application_method,source_url
Micro Finance Scheme,Central,Ministry of Social Justice & Empowerment / NSFDC,SC,Loan,Credit,500000,,125000,0,140000,6.5,,3 months,3 years,small business;micro enterprise;self employment,No,,,All India,Active,SCA;Channelizing Agency,Through authorized channel partners,https://nsfdc.nic.in/faqs
Aajeevika Micro-Finance Yojana,Central,Ministry of Social Justice & Empowerment / NSFDC,SC,Loan,Credit,500000,,125000,0,140000,15,,3 months,3 years,micro business;self employment,No,,,All India,Active,NBFC-MFI,Through authorized channel partners,https://nsfdc.nic.in/faqs
Term Loan - NSFDC,Central,Ministry of Social Justice & Empowerment / NSFDC,SC,Loan,Credit,500000,,4500000,140001,5000000,8,,6 months;12 months for plantation/construction,7 years,agriculture;manufacturing;retail;service;transport;business,No,,,All India,Active,SCA;PSB;RRB;Channelizing Agency,Through authorized channel partners,https://nsfdc.nic.in/faqs
Udyam Nidhi Yojana,Central,Ministry of Social Justice & Empowerment / NSFDC,SC,Loan,Credit,500000,,450000,0,500000,13;15,,3 months,5 years,small business;micro enterprise,No,,,All India,Active,Cooperative Bank;Cooperative Society;Small Finance Bank,Through authorized channel partners,https://nsfdc.nic.in/faqs
Educational Loan Scheme - NSFDC,Central,Ministry of Social Justice & Empowerment / NSFDC,SC,Education Loan,Credit,500000,,4000000,0,4000000,6.5,,Course duration + applicable additional period,10-12 years,professional education;technical education;higher education,Yes,,,All India,Active,SCA;Channelizing Agency,Through authorized channel partners,https://nsfdc.nic.in/faqs
Pradhan Mantri MUDRA Yojana,Central,"Department of Financial Services, Ministry of Finance",Micro enterprises,Loan,Credit,,,2000000,0,,,,,non-agricultural micro enterprise;trading;services;allied agriculture,No,,,All India,Active,PSB;Private Bank;Foreign Bank;RRB;SFB;NBFC;MFI;NBFC-MFI,Through member lending institutions,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,
PMEGP,Central,Ministry of MSME,Individuals;new entrepreneurs,Loan + Subsidy,Credit + Margin Money Subsidy,,,,0,,,Margin money subsidy,As per scheme guidelines,As per scheme guidelines,new micro enterprise;manufacturing;business;service;village industry,No,18,,All India,Active,Banks;KVIC;KVIB;DIC,Online application through PMEGP portal,https://pmegp.msme.gov.in/
PM SVANidhi,Central,Ministry of Housing & Urban Affairs,Street vendors,Loan,Working Capital,,,,0,,,Interest subsidy for eligible digital transactions,As per current scheme guidelines,As per current scheme guidelines,street vending;urban street vendors,No,18,,All India,Active,Scheduled Commercial Banks;RRBs;SFBs;Cooperative Banks;MFIs;NBFCs,Through lending institutions / PM SVANidhi,https://www.jansamarth.in/
Credit Guarantee Scheme for Startups (CGSS),Central,"DPIIT, Ministry of Commerce & Industry",DPIIT-recognised startups,Credit Guarantee,Guarantee,,,200000000,0,200000000,,Government credit guarantee,Loan-specific,loan/debt funding for startups,startup;working capital;venture debt;business expansion,No,,,All India,Active,Scheduled Commercial Banks;Financial Institutions;eligible NBFCs;SEBI-registered AIFs,Through member institutions / JanSamarth,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html
Startup India Seed Fund Scheme,Central,"DPIIT, Ministry of Commerce & Industry",DPIIT-recognised startups,Seed Funding,Grant/Investment/Convertible support,,,,,,Financial assistance for proof of concept;prototype;product trials;market entry;commercialisation,As per scheme guidelines,As per scheme guidelines,innovation;prototype;product development;market entry,No,,,All India,Closed for new startup applications after 31-May-2026,Eligible incubators,Startup India Seed Fund portal,https://seedfund.startupindia.gov.in/,
